wavelength,0,1,2,3,4,5
474,-0.0019,0.0178,0.0038,0.0097,0.0358,0.034
476,-0.002,0.018,0.0041,0.0102,0.0365,0.0347
478,-0.0018,0.0182,0.0046,0.0109,0.0374,0.0358
480,-0.0019,0.0187,0.0048,0.0113,0.0385,0.037
482,-0.0021,0.0195,0.0052,0.012,0.0403,0.0386
484,-0.0022,0.0207,0.0054,0.0126,0.0423,0.0409
486,-0.0012,0.0137,0.0079,0.0145,0.0344,0.0334
488,-0.0018,0.0196,0.0069,0.014,0.0423,0.0407
490,-0.0019,0.02,0.0071,0.0145,0.0432,0.0416
492,-0.002,0.0214,0.007,0.0147,0.0453,0.0437
494,-0.0018,0.0203,0.0078,0.0155,0.0447,0.0431
496,-0.0019,0.0212,0.0075,0.0154,0.0458,0.0444
498,-0.0021,0.0222,0.0074,0.0155,0.0473,0.0458
500,-0.0018,0.0223,0.008,0.0162,0.048,0.0461
502,-0.002,0.0217,0.008,0.0161,0.0474,0.0457
504,-0.0019,0.0222,0.0082,0.0163,0.048,0.0462
506,-0.0018,0.0217,0.0084,0.0164,0.0478,0.0459
508,-0.0019,0.0223,0.0082,0.0163,0.0482,0.0464
510,-0.0019,0.0227,0.008,0.0163,0.0488,0.0471
512,-0.0018,0.0225,0.0082,0.0165,0.0489,0.0471
514,-0.0021,0.0231,0.0082,0.0164,0.0499,0.0478
516,-0.0018,0.023,0.0085,0.0167,0.0501,0.0481
518,-0.0022,0.0234,0.0083,0.0168,0.0508,0.0489
520,-0.002,0.0235,0.0087,0.0173,0.0515,0.0495
522,-0.002,0.0239,0.0093,0.0181,0.0526,0.0504
524,-0.0019,0.0242,0.0098,0.0186,0.0534,0.0515
526,-0.0021,0.0245,0.0099,0.0192,0.0545,0.0527
528,-0.0019,0.0251,0.0106,0.0201,0.0564,0.0544
530,-0.0019,0.0254,0.0115,0.0215,0.0578,0.0561
532,-0.0022,0.0261,0.0118,0.0225,0.0599,0.0581
534,-0.002,0.0261,0.0129,0.0239,0.0614,0.0596
536,-0.0019,0.027,0.0141,0.0257,0.0643,0.0623
538,-0.0021,0.0271,0.015,0.0271,0.0656,0.0643
