Time,calib,upstream,downstream
5855.02,0.603748,-0.279128,-0.169513
5855.03,0.600818,-0.268386,-0.193927
5855.04,0.600818,-0.25862,-0.209552
5855.05,0.600818,-0.242018,-0.225177
5855.06,0.602771,-0.228347,-0.236896
5855.07,0.601794,-0.210768,-0.242755
5855.08,0.600818,-0.189284,-0.245685
5855.09,0.602771,-0.165847,-0.246661
5855.1,0.598865,-0.137526,-0.232989
5855.11,0.600818,-0.106276,-0.226153
5855.12,0.599841,-0.073073,-0.213458
5855.13,0.600818,-0.034011,-0.190021
5855.14,0.602771,0.008958,-0.16756
5855.15,0.602771,0.054857,-0.141192
5855.16,0.600818,0.102708,-0.112872
5855.17,0.600818,0.149583,-0.082599
5855.18,0.601794,0.195482,-0.054278
5855.19,0.599841,0.23845,-0.018146
5855.2,0.602771,0.270677,0.012128
5855.21,0.599841,0.30388,0.043378
5855.22,0.602771,0.326341,0.077558
5855.23,0.600818,0.345872,0.105878
5855.24,0.600818,0.355638,0.138104
5855.25,0.601794,0.362474,0.167401
5855.26,0.602771,0.362474,0.197675
5855.27,0.601794,0.357591,0.225995
5855.28,0.602771,0.326341,0.252362
5855.29,0.601794,0.310716,0.274823
5855.3,0.601794,0.297044,0.297284
5855.31,0.600818,0.276536,0.312909
5855.32,0.601794,0.257982,0.327558
5855.33,0.602771,0.23845,0.3383
5855.34,0.601794,0.2072,0.340253
5855.35,0.599841,0.17888,0.334394
5855.36,0.601794,0.146653,0.320722
5855.37,0.602771,0.111497,0.303144
5855.38,0.599841,0.072435,0.278729
5855.39,0.600818,0.043138,0.251386
5855.4,0.601794,0.014818,0.191815
5855.41,0.600818,-0.00862,0.134198
5855.42,0.601794,-0.067214,0.115644
5855.43,0.601794,-0.092604,0.108808
5855.44,0.601794,-0.163893,0.069745
5855.45,0.600818,-0.212722,0.030683
5855.46,0.601794,-0.245925,-0.004474
5855.47,0.601794,-0.241042,-0.0367
5855.48,0.601794,-0.26155,-0.066974
5855.49,0.599841,-0.269362,-0.095294
5855.5,0.603748,-0.276198,-0.121661
5855.51,0.601794,-0.274245,-0.145099
5855.52,0.600818,-0.268386,-0.16756
5855.53,0.601794,-0.259596,-0.188067
5855.54,0.600818,-0.249831,-0.205646
5855.55,0.602771,-0.236159,-0.223224
5855.56,0.601794,-0.219557,-0.234942
5855.57,0.603748,-0.201979,-0.240802
