Time,calib,bad,upstream,downstream
5967.9,0.601794,-0.311354,-0.311354,-0.029864
5967.91,0.599841,-0.312331,-0.312331,-0.065021
5967.92,0.600818,-0.328932,-0.328932,-0.097247
5967.93,0.598865,-0.334792,-0.334792,-0.131427
5967.94,0.600818,-0.336745,-0.336745,-0.165606
5967.95,0.600818,-0.335768,-0.335768,-0.19588
5967.96,0.600818,-0.332839,-0.332839,-0.22713
5967.97,0.599841,-0.32405,-0.32405,-0.25545
5967.98,0.602771,-0.314284,-0.314284,-0.276935
5967.99,0.601794,-0.297682,-0.297682,-0.293536
5968,0.601794,-0.278151,-0.278151,-0.303302
5968.01,0.601794,-0.248854,-0.248854,-0.309161
5968.02,0.600818,-0.219557,-0.219557,-0.28963
5968.03,0.601794,-0.188307,-0.188307,-0.294513
5968.04,0.601794,-0.146315,-0.146315,-0.2867
5968.05,0.599841,-0.10237,-0.10237,-0.266192
5968.06,0.598865,-0.051589,-0.051589,-0.246661
5968.07,0.599841,-0.021315,-0.021315,-0.226153
5968.08,0.601794,0.036302,0.036302,-0.201739
5968.09,0.600818,0.091966,0.091966,-0.178302
5968.1,0.600818,0.164232,0.164232,-0.156817
5968.11,0.602771,0.224778,0.224778,-0.132403
5968.12,0.600818,0.271654,0.271654,-0.0992
5968.13,0.600818,0.310716,0.310716,-0.058185
5968.14,0.600818,0.345872,0.345872,-0.024005
5968.15,0.599841,0.372239,0.372239,0.027753
5968.16,0.599841,0.393724,0.393724,0.069745
5968.17,0.600818,0.407396,0.407396,0.11662
5968.18,0.599841,0.420091,0.420091,0.162519
5968.19,0.600818,0.423997,0.423997,0.20744
5968.2,0.602771,0.426927,0.426927,0.226972
5968.21,0.601794,0.419114,0.419114,-0.305255
5968.22,0.599841,0.413255,0.413255,0.325604
5968.23,0.601794,0.398607,0.398607,0.389081
5968.24,0.598865,0.384935,0.384935,0.417401
5968.25,0.599841,0.352708,0.352708,0.436933
5968.26,0.599841,0.30388,0.30388,0.454511
5968.27,0.599841,0.274583,0.274583,0.462323
5968.28,0.601794,0.240403,0.240403,0.451581
5968.29,0.600818,0.202318,0.202318,0.433026
5968.3,0.600818,0.154466,0.154466,0.409589
5968.31,0.601794,0.102708,0.102708,0.374433
5968.32,0.599841,0.05095,0.05095,0.325604
5968.33,0.600818,-0.00862,-0.00862,0.270917
5968.34,0.599841,-0.062331,-0.062331,0.201581
5968.35,0.599841,-0.117018,-0.117018,0.14787
5968.36,0.599841,-0.159011,-0.159011,0.103925
5968.37,0.600818,-0.185378,-0.185378,0.080487
5968.38,0.600818,-0.223464,-0.223464,0.033612
5968.39,0.601794,-0.293776,-0.293776,0.005292
5968.4,0.601794,-0.316237,-0.316237,-0.030841
5968.41,0.601794,-0.319167,-0.319167,-0.06795
5968.42,0.600818,-0.331862,-0.331862,-0.101153
5968.43,0.600818,-0.338698,-0.338698,-0.132403
5968.44,0.598865,-0.339675,-0.339675,-0.168536
5968.45,0.600818,-0.340651,-0.340651,-0.200763
5968.46,0.599841,-0.333815,-0.333815,-0.23006
5968.47,0.601794,-0.326003,-0.326003,-0.25838
5968.48,0.601794,-0.313307,-0.313307,-0.280841
5968.49,0.601794,-0.301589,-0.301589,-0.295489
5968.5,0.599841,-0.279128,-0.279128,-0.305255
5968.51,0.601794,-0.25569,-0.25569,-0.308185
5968.52,0.599841,-0.223464,-0.223464,-0.297442
5968.53,0.599841,-0.189284,-0.189284,-0.294513
5968.54,0.599841,-0.144362,-0.144362,-0.2867
5968.55,0.600818,-0.09944,-0.09944,-0.262286
5968.56,0.600818,-0.046706,-0.046706,-0.249591
5968.57,0.603748,-0.00862,-0.00862,-0.228106
5968.58,0.600818,0.038255,0.038255,-0.205646
5968.59,0.601794,0.107591,0.107591,-0.185138
5968.6,0.600818,0.179857,0.179857,-0.16463
5968.61,0.600818,0.229661,0.229661,-0.149981
5968.62,0.600818,0.27556,0.27556,-0.113849
5968.63,0.599841,0.312669,0.312669,-0.065997
5968.64,0.598865,0.344896,0.344896,-0.027911
5968.65,0.600818,0.373216,0.373216,0.017987
5968.66,0.600818,0.3947,0.3947,0.061933
5968.67,0.600818,0.406419,0.406419,0.108808
5968.68,0.600818,0.418138,0.418138,0.155683
5968.69,0.600818,0.423021,0.423021,0.204511
5968.7,0.601794,0.423021,0.423021,0.208417
5968.71,0.600818,0.419114,0.419114,-0.348224
5968.72,0.600818,0.411302,0.411302,0.324628
5968.73,0.599841,0.398607,0.398607,0.387128
5968.74,0.599841,0.382005,0.382005,0.416425
5968.75,0.598865,0.36345,0.36345,0.437909
5968.76,0.601794,0.353685,0.353685,0.456464
5968.77,0.599841,0.279466,0.279466,0.465253
5968.78,0.600818,0.245286,0.245286,0.458417
5968.79,0.601794,0.215013,0.215013,0.436933
5968.8,0.599841,0.160325,0.160325,0.410565
5968.81,0.600818,0.111497,0.111497,0.381269
5968.82,0.600818,0.055833,0.055833,0.325604
5968.83,0.600818,0.001146,0.001146,0.271894
5968.84,0.599841,-0.057448,-0.057448,0.199628
5968.85,0.600818,-0.114089,-0.114089,0.154706
5968.86,0.599841,-0.149245,-0.149245,0.122479
5968.87,0.600818,-0.175612,-0.175612,0.090253
5968.88,0.602771,-0.216628,-0.216628,0.043378
5968.89,0.599841,-0.28987,-0.28987,0.011151
5968.9,0.603748,-0.316237,-0.316237,-0.025958
5968.91,0.601794,-0.309401,-0.309401,-0.059161
5968.92,0.600818,-0.326003,-0.326003,-0.092364
5968.93,0.599841,-0.329909,-0.329909,-0.128497
5968.94,0.600818,-0.332839,-0.332839,-0.159747
5968.95,0.599841,-0.329909,-0.329909,-0.194903
5968.96,0.600818,-0.326003,-0.326003,-0.226153
5968.97,0.599841,-0.315261,-0.315261,-0.250567
5968.98,0.600818,-0.306471,-0.306471,-0.273028
5968.99,0.601794,-0.290846,-0.290846,-0.28963
5969,0.602771,-0.272292,-0.272292,-0.298419
5969.01,0.600818,-0.239089,-0.239089,-0.303302
5969.02,0.601794,-0.218581,-0.218581,-0.28963
5969.03,0.600818,-0.181472,-0.181472,-0.29256
5969.04,0.600818,-0.140456,-0.140456,-0.285724
5969.05,0.598865,-0.094557,-0.094557,-0.268146
5969.06,0.599841,-0.044753,-0.044753,-0.250567
5969.07,0.600818,-0.004714,-0.004714,-0.23006
5969.08,0.601794,0.038255,0.038255,-0.210528
5969.09,0.602771,0.097825,0.097825,-0.188067
5969.1,0.599841,0.17888,0.17888,-0.166583
5969.11,0.602771,0.229661,0.229661,-0.150958
5969.12,0.599841,0.27263,0.27263,-0.115802
5969.13,0.599841,0.314622,0.314622,-0.07381
5969.14,0.599841,0.344896,0.344896,-0.041583
5969.15,0.599841,0.373216,0.373216,0.008222
5969.16,0.599841,0.392747,0.392747,0.053144
5969.17,0.599841,0.411302,0.411302,0.098065
5969.18,0.601794,0.419114,0.419114,0.145917
5969.19,0.599841,0.426927,0.426927,0.194745
5969.2,0.601794,0.42595,0.42595,0.203534
5969.21,0.600818,0.422044,0.422044,-1.420489
5969.22,0.600818,0.413255,0.413255,0.314862
5969.23,0.599841,0.405443,0.405443,0.377362
5969.24,0.600818,0.388841,0.388841,0.409589
5969.25,0.599841,0.370286,0.370286,0.434979
5969.26,0.600818,0.352708,0.352708,0.453534
5969.27,0.600818,0.30095,0.30095,0.464276
5969.28,0.602771,0.256029,0.256029,0.462323
5969.29,0.600818,0.222825,0.222825,0.439862
5969.3,0.601794,0.177903,0.177903,0.414472
5969.31,0.598865,0.132005,0.132005,-1.44588
5969.32,0.600818,0.080247,0.080247,-3.323809
5969.33,0.596912,0.02556,0.02556,0.284589
5969.34,0.596912,-0.032057,-0.032057,0.209394
5969.35,0.598865,-0.084792,-0.084792,0.161542
5969.36,0.599841,-0.129714,-0.129714,0.115644
5969.37,0.600818,-0.157057,-0.157057,0.093183
5969.38,0.600818,-0.186354,-0.186354,0.043378
5969.39,0.600818,-0.243971,-0.243971,0.012128
5969.4,0.601794,-0.297682,-0.297682,-0.022052
5969.41,0.601794,-0.28987,-0.28987,-0.059161
5969.42,0.600818,-0.302565,-0.302565,-0.094317
5969.43,0.600818,-0.309401,-0.309401,-0.129474
5969.44,0.598865,-0.311354,-0.311354,-0.163653
5969.45,0.601794,-0.310378,-0.310378,-0.197833
5969.46,0.598865,-0.307448,-0.307448,-0.228106
5969.47,0.600818,-0.301589,-0.301589,-0.257403
5969.48,0.601794,-0.291823,-0.291823,-0.278888
5969.49,0.600818,-0.279128,-0.279128,-0.296466
5969.5,0.601794,-0.260573,-0.260573,-0.307208
5969.51,0.599841,-0.234206,-0.234206,-0.312091
5969.52,0.601794,-0.203932,-0.203932,-0.300372
5969.53,0.600818,-0.176589,-0.176589,-0.302325
5969.54,0.600818,-0.135573,-0.135573,-0.293536
5969.55,0.600818,-0.092604,-0.092604,-0.279864
5969.56,0.599841,-0.0428,-0.0428,-0.262286
5969.57,0.599841,-0.00569,-0.00569,-0.242755
5969.58,0.599841,0.041185,0.041185,-0.2242
5969.59,0.600818,0.096849,0.096849,-0.202716
5969.6,0.600818,0.165208,0.165208,-0.179278
5969.61,0.601794,0.234544,0.234544,-0.169513
5969.62,0.599841,0.280443,0.280443,-0.132403
5969.63,0.601794,0.322435,0.322435,-0.084552
5969.64,0.599841,0.355638,0.355638,-0.047442
5969.65,0.601794,0.384935,0.384935,-0.002521
5969.66,0.601794,0.407396,0.407396,0.042401
5969.67,0.600818,0.42595,0.42595,0.0883
5969.68,0.600818,0.435716,0.435716,0.138104
5969.69,0.600818,0.443529,0.443529,0.186933
5969.7,0.599841,0.443529,0.443529,0.198651
5969.71,0.598865,0.442552,0.442552,-0.293536
5969.72,0.600818,0.432786,0.432786,0.329511
5969.73,0.598865,0.422044,0.422044,0.373456
5969.74,0.601794,0.404466,0.404466,0.405683
5969.75,0.599841,0.384935,0.384935,0.433026
5969.76,0.599841,0.368333,0.368333,0.451581
5969.77,0.600818,0.324388,0.324388,0.462323
5969.78,0.600818,0.270677,0.270677,0.461347
5969.79,0.599841,0.243333,0.243333,0.440839
5969.8,0.601794,0.198411,0.198411,0.417401
5969.81,0.600818,0.142747,0.142747,0.388104
5969.82,0.600818,0.090989,0.090989,0.347089
5969.83,0.601794,0.036302,0.036302,0.287519
5969.84,0.598865,-0.017409,-0.017409,0.222089
5969.85,0.600818,-0.072097,-0.072097,0.172284
5969.86,0.601794,-0.115065,-0.115065,0.129315
5969.87,0.600818,-0.156081,-0.156081,0.109784
5969.88,0.599841,-0.174636,-0.174636,0.043378
5969.89,0.601794,-0.221511,-0.221511,0.024823
5969.9,0.599841,-0.295729,-0.295729,-0.010333
5969.91,0.601794,-0.295729,-0.295729,-0.049396
5969.92,0.601794,-0.305495,-0.305495,-0.084552
5969.93,0.600818,-0.317214,-0.317214,-0.119708
5969.94,0.599841,-0.320143,-0.320143,-0.154864
5969.95,0.601794,-0.323073,-0.323073,-0.190021
5969.96,0.600818,-0.319167,-0.319167,-0.218341
5969.97,0.599841,-0.313307,-0.313307,-0.245685
5969.98,0.599841,-0.302565,-0.302565,-0.268146
5969.99,0.599841,-0.2928,-0.2928,-0.285724
5970,0.598865,-0.274245,-0.274245,-0.296466
5970.01,0.600818,-0.250807,-0.250807,-0.301349
5970.02,0.601794,-0.2303,-0.2303,-0.294513
5970.03,0.601794,-0.200026,-0.200026,-0.294513
5970.04,0.600818,-0.162917,-0.162917,-0.285724
5970.05,0.600818,-0.121901,-0.121901,-0.269122
5970.06,0.599841,-0.076003,-0.076003,-0.25545
5970.07,0.601794,-0.030104,-0.030104,-0.237872
5970.08,0.599841,0.002122,0.002122,-0.217364
5970.09,0.600818,0.057786,0.057786,-0.196856
5970.1,0.600818,0.115403,0.115403,-0.176349
5970.11,0.600818,0.189622,0.189622,-0.174396
5970.12,0.598865,0.24431,0.24431,-0.143146
5970.13,0.599841,0.287279,0.287279,-0.086505
5970.14,0.600818,0.323411,0.323411,-0.046466
5970.15,0.600818,0.354661,0.354661,-0.006427
5970.16,0.599841,0.380052,0.380052,0.038495
5970.17,0.601794,0.398607,0.398607,0.08537
5970.18,0.599841,0.414232,0.414232,0.135175
5970.19,0.602771,0.421068,0.421068,0.184003
5970.2,0.600818,0.424974,0.424974,0.201581
5970.21,0.600818,0.424974,0.424974,-1.422442
5970.22,0.600818,0.421068,0.421068,0.330487
5970.23,0.601794,0.408372,0.408372,0.373456
5970.24,0.600818,0.396654,0.396654,0.408612
5970.25,0.600818,0.377122,0.377122,0.43205
5970.26,0.600818,0.355638,0.355638,0.454511
5970.27,0.601794,0.330247,0.330247,0.465253
5970.28,0.601794,0.263841,0.263841,0.464276
5970.29,0.601794,0.226732,0.226732,0.449628
5970.3,0.599841,0.193528,0.193528,0.425214
5970.31,0.600818,0.139818,0.139818,0.392011
5970.32,0.599841,0.090013,0.090013,0.33537
5970.33,0.597888,0.034349,0.034349,0.299237
5970.34,0.598865,-0.020339,-0.020339,0.233808
5970.35,0.601794,-0.076003,-0.076003,0.185956
5970.36,0.601794,-0.127761,-0.127761,0.139081
5970.37,0.601794,-0.166823,-0.166823,0.11369
5970.38,0.601794,-0.190261,-0.190261,0.069745
5970.39,0.600818,-0.231276,-0.231276,0.043378
5970.4,0.599841,-0.293776,-0.293776,0.006269
5970.41,0.599841,-0.314284,-0.314284,-0.028888
5970.42,0.600818,-0.317214,-0.317214,-0.066974
5970.43,0.600818,-0.329909,-0.329909,-0.100177
5970.44,0.601794,-0.333815,-0.333815,-0.134356
5970.45,0.600818,-0.337721,-0.337721,-0.168536
5970.46,0.601794,-0.333815,-0.333815,-0.197833
5970.47,0.600818,-0.329909,-0.329909,-0.22713
5970.48,0.600818,-0.319167,-0.319167,-0.250567
5970.49,0.602771,-0.309401,-0.309401,-0.267169
5970.5,0.599841,-0.290846,-0.290846,-0.277911
5970.51,0.600818,-0.267409,-0.267409,-0.282794
5970.52,0.599841,-0.241042,-0.241042,-0.287677
5970.53,0.599841,-0.214675,-0.214675,-0.269122
5970.54,0.599841,-0.179518,-0.179518,-0.271075
5970.55,0.599841,-0.141432,-0.141432,-0.254474
5970.56,0.599841,-0.092604,-0.092604,-0.238849
5970.57,0.601794,-0.045729,-0.045729,-0.219317
5970.58,0.600818,-0.00862,-0.00862,-0.19881
5970.59,0.600818,0.037278,0.037278,-0.178302
5970.6,0.600818,0.096849,0.096849,-0.154864
5970.61,0.600818,0.163255,0.163255,-0.146075
5970.62,0.599841,0.225755,0.225755,-0.124591
5970.63,0.600818,0.270677,0.270677,-0.064044
